wordID,docIDs,frequencies,hitlists
258,6;11;14;16;19,1;1;1;1;8,"2, 13;2, 1;2, 1;2, 4;0, 1228|0, 1416|0, 1426|0, 1433|0, 1610|0, 1760|0, 1773|2, 7"
259,6;13,1;1,"1, 1;0, 166"
260,6,1,"1, 2"
261,7,3,"3, 1|0, 1|0, 80"
262,7,4,"3, 2|0, 2|0, 12|0, 81"
263,7,4,"3, 4|0, 4|0, 15|0, 618"
264,7,32,"3, 6|0, 6|0, 17|0, 199|0, 362|0, 395|0, 412|0, 421|0, 440|0, 449|0, 457|0, 468|0, 481|0, 507|0, 517|0, 552|0, 584|0, 620|0, 637|0, 647|0, 664|0, 673|0, 695|0, 700|0, 733|0, 746|0, 774|0, 793|0, 828|0, 1042|0, 1066|0, 1097"
265,7,5,"3, 7|0, 7|0, 18|0, 200|0, 621"
266,7,19,"3, 9|0, 9|0, 20|0, 60|0, 172|0, 277|0, 368|0, 549|0, 623|0, 876|0, 904|0, 924|0, 972|0, 1175|0, 1273|0, 1334|0, 1355|0, 1383|2, 10"
267,7,1,"0, 11"
268,7,3,"0, 25|0, 591|0, 1045"
269,7;11,4;1,"0, 26|0, 592|0, 1046|0, 1331;0, 840"
270,7,2,"0, 29|0, 595"
271,7;8,2;2,"0, 32|0, 791;0, 155|0, 368"
272,7,2,"0, 38|0, 589"
273,7;16,2;2,"0, 41|0, 1056;0, 285|0, 543"
274,7,2,"0, 44|0, 1059"
275,7;9;13,1;1;1,"0, 48;0, 748;0, 1112"
276,7;10,1;5,"0, 51;0, 191|0, 774|0, 800|0, 847|0, 884"
277,7,2,"0, 54|0, 830"
278,7,6,"0, 55|0, 125|0, 157|0, 325|0, 341|0, 531"
279,7,1,"0, 56"
280,7,8,"0, 58|0, 161|0, 183|0, 203|0, 226|0, 231|0, 313|0, 338"
281,7,2,"0, 62|1, 1"
282,7,2,"0, 63|1, 2"
283,7;18,6;1,"0, 74|0, 104|0, 272|0, 305|0, 1082|0, 1143;0, 532"
284,7,2,"0, 76|0, 128"
285,7,2,"0, 85|0, 835"
286,7,1,"0, 87"
287,7,2,"0, 96|0, 525"
288,7;10;19,6;1;1,"0, 105|0, 239|0, 262|0, 330|0, 381|0, 544;0, 155;0, 1749"
289,7;15;16,1;1;1,"0, 107;0, 418;0, 1034"
290,7,1,"0, 111"
291,7,2,"0, 112|0, 953"
292,7,1,"0, 114"
293,7,1,"0, 115"
294,7,2,"0, 118|0, 140"
295,7,1,"0, 120"
296,7,1,"0, 121"
297,7,3,"0, 127|0, 575|0, 811"
298,7;16,1;1,"0, 131;0, 702"
299,7,1,"0, 136"
300,7,1,"0, 138"
301,7,1,"0, 141"
302,7,1,"0, 144"
303,7,1,"0, 147"
304,7,1,"0, 148"
305,7,1,"0, 152"
306,7,1,"0, 159"
307,7;13;17,3;1;1,"0, 164|0, 185|0, 220;0, 164;0, 165"
308,7,1,"0, 168"
309,7,3,"0, 170|0, 191|0, 366"
310,7,1,"0, 178"
311,7,1,"0, 181"
312,7,1,"0, 188"
313,7,2,"0, 197|0, 335"
314,7,1,"0, 200"
315,7,1,"0, 202"
316,7,2,"0, 205|0, 535"
317,7,2,"0, 207|0, 541"
318,7,1,"0, 222"
319,7,1,"0, 223"
320,7,1,"0, 228"
321,7,7,"0, 234|0, 387|0, 749|0, 915|0, 998|0, 1173|0, 1323"
322,7;9;15,2;1;2,"0, 249|0, 286;0, 421;0, 407|0, 545"
323,7,2,"0, 264|0, 383"
324,7,2,"0, 267|0, 385"
325,7,7,"0, 269|0, 408|0, 772|0, 938|0, 1022|0, 1204|0, 1353"
326,7;16,1;1,"0, 276;0, 1136"
327,7,1,"0, 278"
328,7,1,"0, 290"
329,7;9,1;1,"0, 292;0, 180"
330,7;19,1;1,"0, 303;0, 1009"
331,7,1,"0, 316"
332,7;16,1;1,"0, 327;0, 46"
333,7,1,"0, 345"
334,7,1,"0, 352"
335,7,1,"0, 354"
336,7,1,"0, 365"
337,7;10;13,2;1;1,"0, 372|0, 454;0, 589;0, 1231"
338,7,1,"0, 376"
339,7,7,"0, 379|0, 520|0, 557|0, 880|0, 1348|0, 1359|0, 1430"
340,7;18,1;1,"0, 391;0, 642"
341,7,4,"0, 402|0, 497|0, 760|0, 1254"
342,7,1,"0, 403"
343,7,1,"0, 406"
344,7,1,"0, 419"
345,7;9,1;1,"0, 426;0, 265"
346,7;9,1;2,"0, 428;0, 1064|0, 1136"
347,7,1,"0, 438"
348,7;10;15,4;1;1,"0, 446|0, 511|0, 799|0, 813;0, 486;0, 362"
349,7;10;16,3;2;3,"0, 450|0, 518|0, 674;0, 120|0, 261;0, 195|0, 227|0, 345"
350,7,1,"0, 460"
351,7,2,"0, 467|0, 506"
352,7,2,"0, 476|0, 1092"
353,7,1,"0, 484"
354,7,1,"0, 490"
355,7;8;9;11;15;19,2;1;1;1;1;1,"0, 495|0, 983;0, 82;0, 1246;0, 1538;0, 474;0, 1263"
356,7,1,"0, 499"
357,7;13,1;2,"0, 513;0, 833|0, 1004"
358,7,1,"0, 522"
359,7,1,"0, 567"
360,7,1,"0, 571"
361,7,1,"0, 587"
362,7,2,"0, 597|0, 1206"
363,7;10;14;15,2;1;1;1,"0, 605|0, 844;0, 736;0, 222;0, 216"
364,7,1,"0, 609"
365,7,1,"0, 629"
366,7,1,"0, 630"
367,7,2,"0, 633|0, 1400"
368,7,1,"0, 635"
369,7;9;10;16,1;1;1;2,"0, 649;0, 205;0, 895;0, 988|0, 1537"
370,7,1,"0, 654"
371,7,2,"0, 658|0, 678"
372,7,1,"0, 663"
373,7;10,1;2,"0, 666;0, 565|0, 690"
374,7,1,"0, 688"
375,7;8,2;1,"0, 696|0, 728;0, 1165"
376,7,1,"0, 706"
377,7,1,"0, 712"
378,7,4,"0, 713|0, 782|0, 840|0, 1123"
379,7;12,1;1,"0, 717;0, 447"
380,7;13,1;1,"0, 758;0, 1215"
381,7;10;13,2;1;1,"0, 769|0, 858;0, 468;0, 797"
382,7,1,"0, 770"
383,7;9,1;1,"0, 781;0, 19"
384,7;9,1;1,"0, 798;0, 76"
385,7;8;10;12;15;19,1;1;1;1;1;1,"0, 824;0, 852;0, 543;0, 350;0, 240;0, 42"
386,7;10;13,1;1;1,"0, 862;0, 37;0, 898"
387,7;17,1;2,"0, 872;0, 5|0, 180"
388,7,2,"0, 879|0, 1358"
389,7,2,"0, 885|0, 1364"
390,7,2,"0, 887|0, 1366"
391,7,2,"0, 889|0, 1368"
392,7,2,"0, 891|0, 1370"
393,7,2,"0, 896|0, 1375"
394,7,2,"0, 897|0, 1376"
395,7,2,"0, 899|0, 1378"
396,7,2,"0, 913|0, 1392"
397,7,1,"0, 952"
398,7,1,"0, 955"
399,7,1,"0, 970"
400,7,1,"0, 974"
401,7;9;11;15;19,2;2;1;1;1,"0, 981|0, 1230;0, 445|0, 623;0, 1006;0, 420;0, 1614"
402,7;8,2;1,"0, 988|0, 1448;0, 54"
403,7;8;14,1;1;1,"0, 992;0, 251;0, 115"
404,7;8;12,1;2;1,"0, 1010;0, 1320|0, 1344;0, 454"
405,7;10,1;1,"0, 1013;0, 49"
406,7;13,1;1,"0, 1034;0, 129"
407,7,1,"0, 1052"
408,7,2,"0, 1053|0, 1164"
409,7,1,"0, 1073"
410,7,1,"0, 1075"
411,7,1,"0, 1076"
412,7,1,"0, 1083"
413,7,1,"0, 1086"
414,7;16;18;19,2;1;3;3,"0, 1099|0, 1125;0, 32;0, 342|0, 475|0, 585;0, 1605|0, 2013|0, 2025"
415,7,1,"0, 1106"
416,7,2,"0, 1109|0, 1127"
417,7,2,"0, 1111|0, 1166"
418,7;18,1;1,"0, 1117;0, 460"
419,7,1,"0, 1133"
420,7;16,1;1,"0, 1137;0, 729"
421,7,1,"0, 1140"
422,7,1,"0, 1146"
423,7;15,1;1,"0, 1152;0, 511"
424,7;11;13;18,1;3;1;4,"0, 1161;0, 461|0, 648|0, 682;0, 136;0, 48|0, 87|0, 453|0, 492"
425,7,1,"0, 1178"
426,7;14,1;1,"0, 1180;0, 315"
427,7,1,"0, 1195"
428,7,1,"0, 1210"
429,7,1,"0, 1215"
430,7,1,"0, 1221"
431,7,1,"0, 1234"
432,7;8,1;2,"0, 1237;0, 208|0, 658"
433,7,1,"0, 1243"
434,7;10;11;16;19,1;1;1;1;3,"0, 1249;0, 880;0, 257;0, 649;0, 464|0, 1565|0, 1689"
435,7;8;14;19,2;4;1;1,"0, 1265|0, 1285;0, 44|0, 72|0, 653|0, 1293;0, 670;0, 2112"
436,7;16,1;1,"0, 1272;0, 265"
437,7;9;13;19,1;1;2;2,"0, 1280;0, 697;0, 582|0, 1178;0, 962|0, 971"
438,7,1,"0, 1288"
439,7,1,"0, 1292"
440,7,1,"0, 1302"
441,7,1,"0, 1308"
442,7,1,"0, 1309"
443,7,1,"0, 1318"
444,7;10;19,1;2;4,"0, 1328;0, 177|0, 850;0, 38|0, 342|0, 2251|0, 2314"
445,7,1,"0, 1345"
446,7,1,"0, 1398"
447,7,1,"0, 1410"
448,7,1,"0, 1415"
449,7;9;15;18,1;1;6;3,"0, 1417;0, 705;0, 18|0, 24|0, 265|0, 431|0, 479|0, 654;0, 68|0, 152|0, 486"
450,7,1,"0, 1418"
451,7,1,"0, 1420"
452,7;10;11,1;1;1,"0, 1424;0, 649;0, 105"
453,7,1,"0, 1427"
454,7;16;18;19,1;1;1;2,"0, 1449;0, 1392;0, 611;0, 1954|0, 1972"
455,7,1,"0, 1451"
456,7;15;16,1;2;1,"0, 1453;0, 492|0, 564;0, 786"
457,7,1,"2, 4"
458,7;10;11,1;3;1,"2, 13;0, 188|0, 881|2, 14;0, 896"
459,8;11,36;1,"3, 0|0, 0|0, 97|0, 130|0, 138|0, 163|0, 184|0, 196|0, 250|0, 261|0, 335|0, 377|0, 422|0, 446|0, 465|0, 472|0, 591|0, 630|0, 715|0, 720|0, 735|0, 780|0, 807|0, 816|0, 848|0, 873|0, 883|0, 1095|0, 1120|0, 1140|0, 1208|0, 1226|0, 1237|0, 1257|0, 1288|0, 1315;0, 1515"
460,8,3,"3, 4|0, 4|0, 1049"
461,8,7,"0, 14|0, 694|0, 1074|0, 1117|0, 1200|0, 1340|0, 1377"
462,8,1,"0, 20"
463,8,1,"0, 23"
464,8,1,"0, 24"
465,8;18,1;1,"0, 27;0, 276"
466,8;14,1;1,"0, 29;0, 430"
467,8,1,"0, 31"
468,8,1,"0, 32"
469,8;13;14,1;1;1,"0, 42;0, 738;0, 692"
470,8;11;18,1;4;1,"0, 56;0, 213|0, 225|0, 362|0, 368;0, 159"
